31,Name,Part number,Drawing In Progress,File Sent  APPROVED!! (Ready To Manufacture),Link,Manufactured,Material,Mass,Vendor,Part Quantity,Order Quantity,Bought,Order Date,
237,Cross Tube,1538-25-P-0711,FALSE,TRUE,https://cad.onshape.com/documents/8e45018a292911f5ece76cb7/w/d1d2445993623b475b0d8237/e/342cea01f3986061444055da,FALSE,Aluminum - 6061,0.08 lb,,1,,FALSE,,
236,Torque Tube,1538-25-P-0710,FALSE,TRUE,https://cad.onshape.com/documents/145c42b3f0c8c6b072396609/w/b63224c75e347128ee2d9b59/e/8e6d9d0bfdb90ac4e9d26d91,FALSE,Aluminum - 6061,0.329 lb,,1,,FALSE,,
230,"1/2"" ThunderHex (2.281 in)",1538-25-P-0709,FALSE,TRUE,,TRUE,7075 Aluminum,0.045 lb,,2,,FALSE,,
219,Tube Nut,1538-25-P-0708,FALSE,TRUE,https://cad.onshape.com/documents/8e45018a292911f5ece76cb7/w/d1d2445993623b475b0d8237/e/0da6618ba165c70f41e51eb1,FALSE,Aluminum - 6061,0.407 lb,,1,,FALSE,,
229,Dougnut(DONE DON'T DO),1538-25-P-0707,FALSE,FALSE,https://cad.onshape.com/documents/8e45018a292911f5ece76cb7/w/d1d2445993623b475b0d8237/e/cf0c48580a5aacb8ba1ba3ab,FALSE,Polycarbonate,0.025 lb,,2,,FALSE,,
216,Spacer,1538-25-P-0706,FALSE,TRUE,https://cad.onshape.com/documents/8e45018a292911f5ece76cb7/w/d1d2445993623b475b0d8237/e/24be1301e4b961d3646d56bd,FALSE,Nylon ,0.002 lb,,2,,FALSE,,
212,Pivot Shaft,1538-25-P-0705,FALSE,TRUE,https://cad.onshape.com/documents/8e45018a292911f5ece76cb7/w/d1d2445993623b475b0d8237/e/ecfe66ac67cee2bcfba999b8,FALSE,Aluminum - 7075,0.057 lb,,2,,FALSE,,
214,Intake Alu,1538-25-P-0704,FALSE,FALSE,,TRUE,Aluminum - 6061,0.233 lb,,2,,FALSE,,
215,Intake PC,1538-25-P-0703,FALSE,FALSE,,TRUE,Polycarbonate,0.343 lb,,2,,FALSE,,
211,Gearbox Gusset,1538-25-P-0702,FALSE,TRUE,,TRUE,Aluminum - 6061,0.282 lb,,4,,TRUE,,
213,"Tube 2""x1""x13.835""",1538-25-P-0701,TRUE,FALSE,https://cad.onshape.com/documents/8e45018a292911f5ece76cb7/w/d1d2445993623b475b0d8237/e/8f643650deede331406def3e,FALSE,Aluminum - 6061,0.667 lb,,2,,FALSE,,
111,Climber Gusset,1538-25-P-0604,FALSE,TRUE,,TRUE,Aluminum - 6061,0.181 lb,,2,,TRUE,,
110,Top Tube(No Drawing on onshape),1538-25-P-0603,FALSE,TRUE,,FALSE,Aluminum - 6061,0.206 lb,,1,,FALSE,,
